spanish,basque,context
actividad inspectora, jarduera ikuskatzaile,Juridical Sciences & Law > Finance law
actividad metabólica,aktibitate metaboliko,Technological Sciences > Environmental technology and engineering
actividad metabólica,jarduera metaboliko,Life sciences > Animal Biology
actividad metabólica, metabolismo-jarduera,Life sciences > Animal Biology
actividad metabólica,jarduera metaboliko,Life sciences > Cell biology
activo corriente,aktibo korronte,Economic Sciences > Economic accounting
activo corriente, aktibo zirkulatzaile,Economic Sciences > Economic accounting
activo corriente,aktibo korriente,Economic Sciences > Financial Accounting
activo corriente,aktibo korronte,Economic Sciences > Organization and management of enterprises
activo financiero,aktibo finantzario,Economic Sciences > Financial Accounting
activo financiero,aktibo finantzario,Economic Sciences > Economic accounting
activo financiero, financial asset,Economic Sciences > Economic accounting
activo financiero, finantza-aktibo,Economic Sciences > Economic accounting
activo financiero,aktibo finantzario,Economic Sciences > Organization and management of enterprises
activo financiero, finantza aktibo,Economic Sciences > Organization and management of enterprises
activo financiero,aktibo finantzario,Juridical Sciences & Law > Finance law
activo financiero, finantza-aktibo,Juridical Sciences & Law > Finance law
activo financiero,aktibo finantziero,Juridical Sciences & Law > Commercial law
activo inmaterial,aktibo immaterial,Economic Sciences > Organization and management of enterprises
activo inmaterial,aktibo inmaterial,Economic Sciences > Economic accounting
activo inmaterial, aktibo ukiezin,Economic Sciences > Economic accounting
acto,egitate,Juridical Sciences & Law > Constitutional law
acto,ekitaldi,Juridical Sciences & Law > Labour and Social Security law
acto,egintza,Juridical Sciences & Law > Civil law
acto,egintza,Juridical Sciences & Law > Procedural law
acto,administrazio-egintza,Juridical Sciences & Law > Administrative law
acto, egintza,Juridical Sciences & Law > Administrative law
acto, egintza administratibo,Juridical Sciences & Law > Administrative law
acto administrativo,administrazio-egintza,Juridical Sciences & Law > Administrative law
acto administrativo, egintza,Juridical Sciences & Law > Administrative law
acto administrativo, egintza administratibo,Juridical Sciences & Law > Administrative law
acto administrativo,ekintza administratibo,Juridical Sciences & Law > Finance law
acto de conciliación,adiskidetze-ekitaldi,Juridical Sciences & Law > Procedural law
acto de conciliación,adiskidetze-egintza,Juridical Sciences & Law > Civil law
acto de conciliación,adiskidetze-ekitaldi,Juridical Sciences & Law > Labour and Social Security law
acto unilateral,aldebakarreko jokabide,Juridical Sciences & Law > International law
acto unilateral,alde bakarreko egintza,Juridical Sciences & Law > Civil law
actor,akziodun,Juridical Sciences & Law > Roman law
actor, auzi-jartzaile,Juridical Sciences & Law > Roman law
actor, akusatzaile,Juridical Sciences & Law > Roman law
actor,egile,Juridical Sciences & Law > Constitutional law
actuación,jarduketa,Juridical Sciences & Law > Procedural law
actuación,jarduera,Juridical Sciences & Law > Constitutional law
actuación, funtzionamendu,Juridical Sciences & Law > Constitutional law
actuación, jardunbide,Juridical Sciences & Law > Constitutional law
actuación, prozedura,Juridical Sciences & Law > Constitutional law
actuador,eragile,Technological Sciences > Environmental technology and engineering
actuador,eragingailu,Technological Sciences > Electrical technology and engineering
actuador,eragingailu,Technological Sciences > Instrumentation technology
acuerdo,adospen,Technological Sciences > Projects
acuerdo, akordio,Technological Sciences > Projects
acuerdo, itun,Technological Sciences > Projects
acuerdo,akordio,Juridical Sciences & Law > Constitutional law
acuerdo,akordio,Economic Sciences > Economic accounting
acuerdo, hitzarmen,Economic Sciences > Economic accounting
acuerdo,akordio,Juridical Sciences & Law > International law
acuerdo, hitzarmen,Juridical Sciences & Law > International law
acuerdo, adostasun,Juridical Sciences & Law > International law
acuerdo, hitzarmen,Juridical Sciences & Law > International law
acuerdo, tratatu,Juridical Sciences & Law > International law
acuerdo, itun,Juridical Sciences & Law > International law
acuerdo,adostasun,Juridical Sciences & Law > Finance law
acuerdo, akordio,Juridical Sciences & Law > Finance law
acuerdo,adostasun,Juridical Sciences & Law > Law Philosophy
acuerdo,adostasun,Education sciences
acuerdo,adostasun,Juridical Sciences & Law > Labour and Social Security law
acuerdo,akordio,Juridical Sciences & Law > Canon law
acuerdo arbitral,akordio arbitral,Juridical Sciences & Law > International law
acuerdo arbitral, hitzarmen arbitral,Juridical Sciences & Law > International law
acuerdo arbitral,arbitraje-hitzarmen,Juridical Sciences & Law > Civil law
acumulación,metaketa,Juridical Sciences & Law > Procedural law
acumulación, pilaketa,Juridical Sciences & Law > Procedural law
acumulación,metatze,Juridical Sciences & Law > Administrative law
acumulación,metaketa,Technological Sciences > Environmental technology and engineering
acumulación, pilaketa,Technological Sciences > Environmental technology and engineering
acumulación,metaketa,Medical Sciences > Pharmacology
adaptación,moldaketa,Technological Sciences > Environmental technology and engineering
adaptación, moldatze,Technological Sciences > Environmental technology and engineering
adaptación,adaptazio,Education sciences
adaptación,egokitzapen,Technological Sciences > Projects
adaptación,egokitzapen,Physics > Electro-magnetism
adaptación,egokitzapen,Technological Sciences > Telecommunications technology
adaptación,moldapen,Life sciences > Animal Biology
adelanto,aurreratze,Technological Sciences > Projects
adelanto,aurrerakin,Economic Sciences > Organization and management of enterprises
adherencia,atxikidura,Medical Sciences > Microbiology
adherencia,atxikidura,Technological Sciences > Environmental technology and engineering
adherencia,itxitura,Mathematics > Topology
adhesión,adhesio,Juridical Sciences & Law > International law
adhesión, atxikimendu,Juridical Sciences & Law > International law
adhesión, atxikipen,Juridical Sciences & Law > International law
adhesión,atxikimendu,Juridical Sciences & Law > Finance law
adhesión,atxikidura,Life sciences > Cell biology
adhesión,atxikitze,Juridical Sciences & Law > European Union law
adhesión,atxikidura,Life sciences > Microbiology
adición,batura,Life sciences > Animal Biology
adición,batuketa,Physics > General Physics specialities
adición,batuketa,Mathematics > Analysis and functional analysis
adición,batuketa,Physics > Electro-magnetism
adición,eransketa,Juridical Sciences & Law > Roman law
aditivo,aditibo,Technological Sciences > Environmental technology and engineering
aditivo, substantzia gehigarri,Technological Sciences > Environmental technology and engineering
aditivo,gehigarri,Technological Sciences > Food technology
adjudicación,esleipen,Juridical Sciences & Law > Law Philosophy
adjudicación,adjudikazio,Juridical Sciences & Law > Roman law
adjudicación,adjudikazio,Juridical Sciences & Law > Finance law
adjudicación, esleipen,Juridical Sciences & Law > Finance law
adjudicación,adjudikazio,Technological Sciences > Telecommunications technology
adjudicación,esleipen,Technological Sciences > Projects
adjudicación,esleipen,Medical Sciences > Nutritional sciences
adjudicación,esleipen,Juridical Sciences & Law > Civil law
adjudicación,adjudikazio,Juridical Sciences & Law > Administrative law
adjudicación, esleipen,Juridical Sciences & Law > Administrative law
adjudicación para pago,pagurako adjudikazio,Juridical Sciences & Law > Finance law
adjudicación para pago, pagurako esleipen,Juridical Sciences & Law > Finance law
adjudicación para pago,pagutarako adjudikazio,Juridical Sciences & Law > Procedural law
adjudicar,adjudikatze,Juridical Sciences & Law > Roman law
adjudicar,esleitu,Juridical Sciences & Law > Law Philosophy
adjudicar,esleitu,Juridical Sciences & Law > Administrative law
adjudicar,esleitu,Economic Sciences > Economic accounting
administración local,administrazio lokal,Juridical Sciences & Law > Administrative law
administración local, toki administrazio,Juridical Sciences & Law > Administrative law
administración local,herri-erakunde,Juridical Sciences & Law > Finance law
administración local,toki-administrazio,Juridical Sciences & Law > Constitutional law
administración local, tokiko administrazio,Juridical Sciences & Law > Constitutional law
administrativo,administratibo,Education sciences
administrativo,administratzaile,Economic Sciences > Economic accounting
ADN,azido desoxirribonukleiko,Life sciences > Biochemistry and Molecular Biology
ADN,azido desoxirribonukleiko,Life sciences > Cell biology
ADN, DNA molekula,Life sciences > Cell biology
adquisición,eskurapen,Juridical Sciences & Law > Roman law
adquisición,eskuraketa,Economic Sciences > Organization and management of enterprises
adquisición,eskuratze,Economic Sciences > Economic accounting
adquisición,eskuraketa,Juridical Sciences & Law > Administrative law
adquisición, eskuratze,Juridical Sciences & Law > Administrative law
adquisición,jabetze,Education sciences
adquisición,erosketa,Technological Sciences > Projects
adquisición,eskuraketa,Technological Sciences > Instrumentation technology
adquisición, eskuratze,Technological Sciences > Instrumentation technology
adyuvante,adjubante,Life sciences > Biochemistry and Molecular Biology
adyuvante,lagungarri,Medical Sciences > Pharmacology
afección,borondate on,Juridical Sciences & Law > Roman law
afección,afekzio,Juridical Sciences & Law > Finance law
afección de bienes,atxikitze-eskubide,Juridical Sciences & Law > Finance law
afección de bienes, ondasunen atxikipen,Juridical Sciences & Law > Finance law
afección de bienes,afekzio,Juridical Sciences & Law > Procedural law
afección de bienes, ondasunen afekzio,Juridical Sciences & Law > Procedural law
afinidad,afinitate,Technological Sciences > Environmental technology and engineering
afinidad,afinidad,Juridical Sciences & Law > Roman law
afinidad,afinitate,Life sciences > Cell biology
afinidad,afinitate,Chemistry > Analytical chemistry
afinidad,afinitate,Life sciences > Animal Biology
afinidad, kidetasun,Life sciences > Animal Biology
afinidad,afinitate,Medical Sciences > Pharmacology
afinidad,afinitate,Medical Sciences > Pharmaceutical Technology
afinidad,afinitate,Life sciences > Biochemistry and Molecular Biology
afinidad,elkarkidetasun,Juridical Sciences & Law > Constitutional law
afloramiento,azaleratze,Earth and Space Sciences > Metereology and Oceanography
afloramiento, upwelling,Earth and Space Sciences > Metereology and Oceanography
afloramiento,azaleramendu,Earth and Space Sciences > Geology
agente,agente,Juridical Sciences & Law > International law
agente,eragile,Education sciences
agente,agente,Medical Sciences > Medical diagnostic and Treatment Technology
agente,agente,Medical Sciences > Pharmaceutical Technology
agente económico,artekari ekonomiko,Economic Sciences > Economic theory
agente económico,agente ekonomiko,Economic Sciences > Economic accounting
agente económico, ekonomia-agente,Economic Sciences > Economic accounting
agente etiológico,agente etiologiko,Life sciences > Microbiology
agente etiológico,eragile etiologiko,Medical Sciences > Microbiology
agente infeccioso,agente infekzioso,Life sciences > Microbiology
agente infeccioso,infekzio-eragile,Life sciences > Biochemistry and Molecular Biology
agente infeccioso,eragile infekzioso,Medical Sciences > Microbiology
agente limpiador,agente garbitzaile,Life sciences > Microbiology
agente limpiador,garbiketa-agente,Life sciences > Cell biology
agotamiento,agortze,Technological Sciences > Environmental technology and engineering
agotamiento,agorpen,Juridical Sciences & Law > Criminal law
agregación,gehikuntza,Economic Sciences > Economic accounting
agregación,agregazio,Juridical Sciences & Law > Civil law
agregación,agregazio,Medical Sciences > Pharmaceutical Technology
aislamiento,isolamendu,Technological Sciences > Electrical technology and engineering
aislamiento,isolamendu,Medical Sciences > Public health
aislamiento,isolamendu,Technological Sciences > Construction technology
aislamiento,bakartze,Medical Sciences > Microbiology
aislamiento, isolamendu,Medical Sciences > Microbiology
aislamiento,isolamendu,Technological Sciences > Electronic technology
aislamiento,isolamendu,Chemistry > Physical chemistry
aislamiento,isolamendu,Technological Sciences > Projects
aislamiento,isolamendu,Life sciences > Microbiology
aislamiento,isolaketa,Life sciences > Cell biology
alcalinidad,alkalinitate,Chemistry > Analytical chemistry
alcalinidad,alkalinitate,Technological Sciences > Environmental technology and engineering
alcalinidad, alkalinotasun,Technological Sciences > Environmental technology and engineering
alcalinidad, basikotasun,Technological Sciences > Environmental technology and engineering
alcalinidad,alkalinotasun,Technological Sciences > Food technology
alcalinidad,alkalinotasun,Life sciences > Microbiology
alcance,irispen,Technological Sciences > Projects
alcance, nondik norako,Technological Sciences > Projects
alcance, norainoko,Technological Sciences > Projects
alcance,helmen,Physics > Theoretical physics
alcance, irismen,Physics > Theoretical physics
aleatorio,aleatorio,Medical Sciences > Pharmacology
aleatorio,zori,Economic Sciences > Econometrics
alimentación eléctrica,elikadura,Technological Sciences > Electrical technology and engineering
alimentación eléctrica, elikatze,Technological Sciences > Electrical technology and engineering
alimentación eléctrica, elikatze elektriko,Technological Sciences > Electrical technology and engineering
alimentación eléctrica,elikadura elektriko,Technological Sciences > Computer technology
almacenar,metatu,Technological Sciences > Electrical technology and engineering
almacenar,biltegiratu,Economic Sciences > Economic accounting
almacenar,metatu,Physics > Aplied Physics
alojamiento,ahokaleku,Technological Sciences > Mechanical engineering and technology
alojamiento,egoitza,Education sciences
alternativa,alternatiba,Technological Sciences > Projects
alternativa, aukera,Technological Sciences > Projects
alternativa,hautabide,Physics > General Physics specialities
altura,altuera,Physics > Fluids (physics of)
altura,altitude,Earth and Space Sciences > Metereology and Oceanography
altura,altuera,Physics > Electro-magnetism
altura,altuera,Mathematics > Analysis and functional analysis
altura,altuera,Technological Sciences > Environmental technology and engineering
altura, garaiera,Technological Sciences > Environmental technology and engineering
altura,altuera,Technological Sciences > Mechanical engineering and technology
altura, garaiera,Technological Sciences > Mechanical engineering and technology
altura,altuera,Technological Sciences > Industrial technology
aluvión,alubioi,Earth and Space Sciences > Geology
aluvión,lohi-jalkin,Juridical Sciences & Law > Roman law
ambiente,ingurumen,Life sciences > Microbiology
ambiente,giro,Education sciences
ambiente,ingurumen,Life sciences > Animal Biology
ambiente,ingurugiro,Technological Sciences > Environmental technology and engineering
ambiente, ingurumen,Technological Sciences > Environmental technology and engineering
amortiguador,indargetzaile,Physics > Aplied Physics
amortiguador, motelgailu,Physics > Aplied Physics
amortiguador,indargetzaile,Life sciences > Human physiology
amortiguador,motelgailu,Technological Sciences > Mechanical engineering and technology
amortiguador,indargetzaile,Technological Sciences > Environmental technology and engineering
amparo,babes,Education sciences
amparo,anparo,Juridical Sciences & Law > Labour and Social Security law
amperio,ampere,Physics > General Physics specialities
amperio,ampere,Technological Sciences > Electronic technology
amperio,ampere,Physics > Aplied Physics
amperio,ampere unitatea,Technological Sciences > Electrical technology and engineering
amperio,ampere,Physics > Electro-magnetism
ampicilina,anpizilina,Medical Sciences > Microbiology
ampicilina,ampizilina,Medical Sciences > Pharmacology
ampicilina,anpizilina,Life sciences > Biochemistry and Molecular Biology
ampicilina,anpizilina,Medical Sciences > Pharmaceutical Technology
ampliación,handitze,Technological Sciences > Projects
ampliación,hedapen,Juridical Sciences & Law > European Union law
ampliación, zabalkunde,Juridical Sciences & Law > European Union law
amplitud,anplitude,Technological Sciences > Electrical technology and engineering
amplitud,anplitude,Technological Sciences > Electronic technology
amplitud,anplitude,Physics > Aplied Physics
amplitud,anplitude,Physics > Electro-magnetism
amplitud,anplitude,Physics > General Physics specialities
amplitud,hein,Mathematics > Statistics
amplitud,anplitude,Technological Sciences > Environmental technology and engineering
amplitud,anplitude,Life sciences > Biochemistry and Molecular Biology
amplitud,anplitude,Physics > Theoretical physics
amplitud,anplitude,Technological Sciences > Telecommunications technology
análisis de datos,datu-analisi,Life sciences > Biochemistry and Molecular Biology
análisis de datos,datuen analisi,Chemistry > Physical chemistry
análisis de datos,datu-analisi,Mathematics > Statistics
análisis de sensibilidad,sentikortasun analisi,Economic Sciences > Econometrics
análisis de sensibilidad,sentikortasun-analisi,Mathematics > Analysis and functional analysis
análisis de sensibilidad,sentikortasun-analisi,Economic Sciences > Economic accounting
análisis de sensibilidad, sentikortasun-azterketa,Economic Sciences > Economic accounting
análisis de sensibilidad, sentikortasunaren analisi,Economic Sciences > Economic accounting
análisis de sensibilidad,sentikortasunaren analisi,Mathematics > Operations research
análisis dimensional,dimentsio-analisi,Physics > General Physics specialities
análisis dimensional,analisi dimentsional,Physics > Fluids (physics of)
ángulo crítico,angelu kritiko,Technological Sciences > Telecommunications technology
ángulo crítico,muga-angelu,Physics > Optics
ángulo crítico,angelu kritiko,Physics > Electro-magnetism
ángulo de inclinación,gorapen-angelu,Technological Sciences > Telecommunications technology
ángulo de inclinación, inklinazio-angelu,Technological Sciences > Telecommunications technology
ángulo de inclinación,inklinazio-angelu,Technological Sciences > Electrical technology and engineering
ángulo de inclinación,inklinazio-angelu,Technological Sciences > Industrial technology
ángulo de inclinación,zeihartasun-angelu,Technological Sciences > Mechanical engineering and technology
anotación preventiva de embargo,dokumentuaren gaineko bahi,Juridical Sciences & Law > Commercial law
anotación preventiva de embargo,enbargoaren aurreneurrizko idatzohar,Juridical Sciences & Law > Finance law
anticonceptivo oral,aho bidetiko antisorgailu,Medical Sciences > Pharmacology
anticonceptivo oral,ahotiko antikontzeptibo,Chemistry > Organic chemistry
anticonceptivo oral, ahotiko antisorgailu,Chemistry > Organic chemistry
antidepresivo,antidepresibo,Medical Sciences > Pharmacology
antidepresivo,depresio-kontrako,Chemistry > Organic chemistry
antihipertensivo,antihipertentsibo,Medical Sciences > Pharmacology
antihipertensivo, farmako antihipertentsibo,Medical Sciences > Pharmacology
antihipertensivo,hipertentsio-kontrako,Chemistry > Organic chemistry
antimicrobiano,antimikrobiar,Medical Sciences > Pharmacology
antimicrobiano,antimikrobiano,Medical Sciences > Microbiology
antimicrobiano,antimikrobiano,Technological Sciences > Food technology
antiparasitario,parasito-kontrako,Chemistry > Organic chemistry
antiparasitario,antiparasitario,Medical Sciences > Microbiology
antipirético,sukar-kontrako,Chemistry > Organic chemistry
antipirético,antipiretiko,Medical Sciences > Pharmacology
antipirético,antipiretiko,Life sciences > Human physiology
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Constitutional law
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Procedural law
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Administrative law
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Labour and Social Security law
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Civil law
anulabilidad,anulagarritasun,Juridical Sciences & Law > Law Philosophy
anulación,anulazio,Juridical Sciences & Law > Finance law
anulación, deuseztapen,Juridical Sciences & Law > Finance law
anulación,deuseztatze,Juridical Sciences & Law > Constitutional law
aparato respiratorio,arnas aparatu,Medical Sciences > Pharmacology
aparato respiratorio,arnas aparatu,Life sciences > Animal Biology
aparato respiratorio, arnas sistema,Life sciences > Animal Biology
aparato respiratorio,arnas-aparatu,Life sciences > Human physiology
apertura,irekidura,Physics > Optics
apertura,irekitasun,Education sciences
apertura numérica,zenbakizko irekidura,Physics > Optics
apertura numérica,irekidura numeriko,Technological Sciences > Telecommunications technology
APPCC,AKKPA,Medical Sciences > Nutritional sciences
APPCC, Arriskuen eta Kontrol Kritikoko Puntuen Analisi,Medical Sciences > Nutritional sciences
APPCC,AAKKP,Life sciences > Microbiology
APPCC, Arriskuen Azterketa eta Kontrol Kritikoko Puntua,Life sciences > Microbiology
arbitraje,artekaritza,Technological Sciences > Computer technology
arbitraje,arbitraje,Economic Sciences > Organization and management of enterprises
arbitraje,arbitraje,Juridical Sciences & Law > International law
arbitraje,arbitraje,Juridical Sciences & Law > Procedural law
arbitraje,arbitraje,Juridical Sciences & Law > Civil law
arbitraje,arbitraje,Juridical Sciences & Law > Administrative law
arbitraje,arbitraje,Juridical Sciences & Law > Labour and Social Security law
arbitrio,ariel,Juridical Sciences & Law > Finance law
arbitrio,aukeramen,Juridical Sciences & Law > Law Philosophy
arbitrio, erabakimen,Juridical Sciences & Law > Law Philosophy
árbitro,arbitro,Juridical Sciences & Law > Roman law
árbitro,arbitro,Juridical Sciences & Law > Procedural law
árbitro,artekari,Technological Sciences > Computer technology
árbol,arbola,Technological Sciences > Computer technology
árbol,ardatz,Technological Sciences > Mechanical engineering and technology
árbol,zuhaitz,Technological Sciences > Electrical technology and engineering
archivo,artxibatze,Juridical Sciences & Law > Procedural law
archivo, jarduerak artxibatze,Juridical Sciences & Law > Procedural law
archivo, largespen,Juridical Sciences & Law > Procedural law
archivo, largeste,Juridical Sciences & Law > Procedural law
archivo,fitxategi,Technological Sciences > Computer technology
archivo, fitxategi fisiko,Technological Sciences > Computer technology
área,area,Physics > Electro-magnetism
área,gune,Medical Sciences > Pharmacology
área,azalera,Technological Sciences > Electronic technology
área,azalera,Technological Sciences > Projects
área,azalera,Technological Sciences > Industrial technology
área,azalera,Mathematics > Analysis and functional analysis
argumentación,arrazoibide,Physics > Electro-magnetism
argumentación,argumentazio,Juridical Sciences & Law > Law Philosophy
argumento,argudio,Juridical Sciences & Law > Law Philosophy
argumento, argumentu,Juridical Sciences & Law > Law Philosophy
argumento,arrazoibide,Juridical Sciences & Law > Constitutional law
argumento,argumentu,Technological Sciences > Telecommunications technology
argumento,argumentu,Mathematics > Analysis and functional analysis
argumento,argumentu,Physics > Electro-magnetism
argumento,argumentu,Technological Sciences > Computer technology
argumento,argumentu,Technological Sciences > Electrical technology and engineering
articulación,giltzadura,Technological Sciences > Mechanical engineering and technology
articulación,ardatz-giltzadura,Technological Sciences > Construction technology
articulación, artikulazio,Technological Sciences > Construction technology
articulación, giltzadura,Technological Sciences > Construction technology
articulación,artikulazio,Physics > Aplied Physics
articulación, giltzadura,Physics > Aplied Physics
articulación,artikulazio,Life sciences > Human physiology
articulación,giltzadura,Medical Sciences > Pharmacology
asamblea,biltzar,Juridical Sciences & Law > Constitutional law
asamblea,asanblada,Juridical Sciences & Law > Labour and Social Security law
aserción,asertzio,Technological Sciences > Computer technology
aserción,baieztapen,Mathematics > Analysis and functional analysis
asesor,aholkulari,Juridical Sciences & Law > Finance law
asesor,aholku,Juridical Sciences & Law > Constitutional law
asesoramiento,asesoramendu,Education sciences
asesoramiento,aholkamendu,Juridical Sciences & Law > Finance law
asistencia jurídica gratuita,doako zuzenbide-laguntza,Juridical Sciences & Law > Constitutional law
asistencia jurídica gratuita,doako justizia,Juridical Sciences & Law > Procedural law
asistencia jurídica gratuita, doako laguntza juridiko,Juridical Sciences & Law > Procedural law
asociación,elkarketa,Physics > Electro-magnetism
asociación,elkarte,Medical Sciences > Pharmacology
asociación,elkarte,Education sciences
asociación,elkarte,Juridical Sciences & Law > Civil law
asociación,elkarketa,Technological Sciences > Electrical technology and engineering
atenuación,indargabetze,Medical Sciences > Medical diagnostic and Treatment Technology
atenuación,indargabetze,Medical Sciences > Microbiology
atenuación, moteltze,Medical Sciences > Microbiology
atenuación,ahuldura,Technological Sciences > Telecommunications technology
atenuación, atenuazio,Technological Sciences > Telecommunications technology
atenuación,ahuldura,Physics > Electro-magnetism
