spanish,english,context
adjudicación,award,Medical Sciences > Nutritional sciences
adjunto,adjunt,Mathematics > Algebra
adjunto, cofactor,Mathematics > Algebra
adjunto,adjoint,Mathematics > Analysis and functional analysis
adjunto, adjoint of a matrix,Mathematics > Analysis and functional analysis
aerobiosis,aerobiosis,Life sciences > Microbiology
aerobiosis,aerobic conditions,Life sciences > Biochemistry and Molecular Biology
afirmación,affirmation,Mathematics > Analysis and functional analysis
afirmación, assertion,Mathematics > Analysis and functional analysis
afirmación,assertion,Mathematics > Statistics
afirmación,affirmation,Mathematics > Algebra
afloramiento,upwelling,Earth and Space Sciences > Metereology and Oceanography
afloramiento,outcrop,Earth and Space Sciences > Geology
aireación,aeration,Technological Sciences > Environmental technology and engineering
aireación,ventilation,Technological Sciences > Food technology
aislador,insulator,Technological Sciences > Electrical technology and engineering
aislador,isolator,Physics > Electro-magnetism
aislador,isolator,Technological Sciences > Telecommunications technology
aislamiento,insulation,Technological Sciences > Electrical technology and engineering
aislamiento, isolation,Technological Sciences > Electrical technology and engineering
aislamiento,isolation,Medical Sciences > Public health
aislamiento,insulation,Technological Sciences > Construction technology
aislamiento, isolation,Technological Sciences > Construction technology
aislamiento, isolement,Technological Sciences > Construction technology
aislamiento,isolate,Medical Sciences > Microbiology
aislamiento,insulation,Technological Sciences > Electronic technology
aislamiento,insulation,Chemistry > Physical chemistry
aislamiento,isolation,Technological Sciences > Projects
aislamiento,isolation,Life sciences > Microbiology
aislamiento,isolation,Life sciences > Cell biology
aislante,insulator,Technological Sciences > Electrical technology and engineering
aislante,insulator,Physics > Electro-magnetism
aislante,insulator,Technological Sciences > Environmental technology and engineering
aislante, isolating,Technological Sciences > Environmental technology and engineering
aislante,insulating,Technological Sciences > Food technology
aislante,insulator,Technological Sciences > Electronic technology
aislante,isolator,Physics > Aplied Physics
ajustar,adjust,Economic Sciences > Organization and management of enterprises
ajustar,adjust,Technological Sciences > Electrical technology and engineering
ajustar, regulate,Technological Sciences > Electrical technology and engineering
ajustar, set,Technological Sciences > Electrical technology and engineering
ajustar,adjust,Technological Sciences > Industrial technology
ajustar, fit,Technological Sciences > Industrial technology
ajustar,adjust,Economic Sciences > Econometrics
ajuste,adjustment,Economic Sciences > Econometrics
ajuste,ajustement,Technological Sciences > Construction technology
ajuste,adjustment,Technological Sciences > Electrical technology and engineering
ajuste, setting,Technological Sciences > Electrical technology and engineering
ajuste,fitting,Technological Sciences > Industrial technology
ajuste,fitting,Medical Sciences > Pharmaceutical Technology
ajuste,fit,Technological Sciences > Mechanical engineering and technology
ajuste,adjustment,Chemistry > Physical chemistry
ajuste,fit,Mathematics > Statistics
alcaloide,alcaloid,Medical Sciences > Pharmaceutical Technology
alcaloide,alkaloid,Life sciences > Microbiology
alcaloide,alkaloid,Chemistry > Organic chemistry
alcance,scope,Technological Sciences > Projects
alcance,range,Physics > Theoretical physics
aleatorio,randomized,Medical Sciences > Pharmacology
aleatorio,random,Economic Sciences > Econometrics
alga,algae,Life sciences > Animal Biology
alga,algae,Life sciences > Microbiology
alga,alga,Technological Sciences > Environmental technology and engineering
alimentación,alimentation,Technological Sciences > Electronic technology
alimentación, power,Technological Sciences > Electronic technology
alimentación, power source,Technological Sciences > Electronic technology
alimentación, power supply,Technological Sciences > Electronic technology
alimentación,feeding,Life sciences > Animal Biology
alimentación, nutrition,Life sciences > Animal Biology
alimentación, feeding,Life sciences > Animal Biology
alimentación,feed,Technological Sciences > Environmental technology and engineering
alimentación,diet,Technological Sciences > Food technology
alimentación, food,Technological Sciences > Food technology
alimentación,diet,Medical Sciences > Pharmacology
alimentación, food,Medical Sciences > Pharmacology
alimentación, nutrition,Medical Sciences > Pharmacology
alimentación,supply,Technological Sciences > Electrical technology and engineering
alimento,nutrient,Life sciences > Cell biology
alimento,food,Life sciences > Animal Biology
alimento, nutrient,Life sciences > Animal Biology
alimento,food,Medical Sciences > Pharmaceutical Technology
alimento,foodstuff,Medical Sciences > Nutritional sciences
almacén,store,Medical Sciences > Pharmaceutical Technology
almacén,storehouse,Technological Sciences > Environmental technology and engineering
almacén,stockroom,Economic Sciences > Organization and management of enterprises
almacén, store,Economic Sciences > Organization and management of enterprises
almacén, warehouse,Economic Sciences > Organization and management of enterprises
alteración,alteration,Medical Sciences > Pharmacology
alteración, disorder,Medical Sciences > Pharmacology
alteración,alteration,Life sciences > Animal Biology
alteración,disturbance,Medical Sciences > Medical diagnostic and Treatment Technology
altura,height,Physics > Fluids (physics of)
altura,altitude,Earth and Space Sciences > Metereology and Oceanography
altura,height,Physics > Electro-magnetism
altura,height,Mathematics > Analysis and functional analysis
altura,height,Technological Sciences > Environmental technology and engineering
altura,height,Technological Sciences > Mechanical engineering and technology
altura,height,Technological Sciences > Industrial technology
alveolo,alveoli,Life sciences > Human physiology
alveolo,alveolus,Medical Sciences > Pharmaceutical Technology
ámbito,scope,Technological Sciences > Computer technology
ámbito,area,Technological Sciences > Projects
amígdala,tonsil,Medical Sciences > Pharmacology
amígdala,amigdala,Life sciences > Human physiology
amortiguador,damper,Physics > Aplied Physics
amortiguador,buffer,Life sciences > Human physiology
amortiguador,absorber,Technological Sciences > Mechanical engineering and technology
amortiguador, dashpot,Technological Sciences > Mechanical engineering and technology
amortiguador,buffer,Technological Sciences > Environmental technology and engineering
amortización,amortization,Technological Sciences > Projects
amortización,amortization,Economic Sciences > General economics
amortización, depreciation,Economic Sciences > General economics
amortización,depreciation,Economic Sciences > Organization and management of enterprises
amortización acumulada,cumulated amortization,Economic Sciences > Economic accounting
amortización acumulada,cumulative depreciation,Economic Sciences > Organization and management of enterprises
amortización financiera,financial amortization,Economic Sciences > Economic accounting
amortización financiera,amortization,Economic Sciences > Organization and management of enterprises
anaerobio,anaerobic,Technological Sciences > Food technology
anaerobio,anaerobe,Medical Sciences > Microbiology
anaerobiosis,anaerobiosis,Life sciences > Microbiology
anaerobiosis,anaerobiosis,Medical Sciences > Microbiology
anaerobiosis,anaerobic conditions,Life sciences > Biochemistry and Molecular Biology
análisis de datos,data analysis,Life sciences > Biochemistry and Molecular Biology
análisis de datos,datum analysis,Chemistry > Physical chemistry
análisis de datos,data analysis,Mathematics > Statistics
analizador,analyzer,Physics > Optics
analizador,analyser,Technological Sciences > Environmental technology and engineering
analizador,analyzer,Technological Sciences > Chemical technology and engineering
ángulo de inclinación,elevation angle,Technological Sciences > Telecommunications technology
ángulo de inclinación,tilt angle,Technological Sciences > Electrical technology and engineering
ángulo de inclinación,inclination angle,Technological Sciences > Industrial technology
ángulo de inclinación,angle of inclination,Technological Sciences > Mechanical engineering and technology
año luz,light year,Physics > Mechanics
año luz, ly,Physics > Mechanics
año luz,light-year,Physics > General Physics specialities
antena,antenna,Physics > General Physics specialities
antena,antenna,Physics > Electro-magnetism
antena,aerial,Technological Sciences > Telecommunications technology
antena, antenna,Technological Sciences > Telecommunications technology
antena,antenna (pl.antennae),Life sciences > Animal Biology
anticolinérgico,anticholinergic drugs,Medical Sciences > Pharmacology
anticolinérgico, antocholinergic,Medical Sciences > Pharmacology
anticolinérgico,anticholinergic,Chemistry > Organic chemistry
aparato,machine,Medical Sciences > Pharmaceutical Technology
aparato,apparatus,Technological Sciences > Electrical technology and engineering
aparato, device,Technological Sciences > Electrical technology and engineering
aparato,aparatus,Life sciences > Animal Biology
aparato,system,Life sciences > Human physiology
aparato de Golgi,golgi apparatus,Life sciences > Cell biology
aparato de Golgi, golgi complex,Life sciences > Cell biology
aparato de Golgi,Golgi apparatus,Life sciences > Biochemistry and Molecular Biology
aparato de medida,measuring device,Technological Sciences > Environmental technology and engineering
aparato de medida, measuring instrument,Technological Sciences > Environmental technology and engineering
aparato de medida,measurement device,Technological Sciences > Electrical technology and engineering
aparato de medida, measuring instrument,Technological Sciences > Electrical technology and engineering
aparato de medida,measuring device,Physics > Electro-magnetism
aparato de medida, meter,Physics > Electro-magnetism
aparato de medida,measuring device,Technological Sciences > Electronic technology
aparato de medida, measuring instrument,Technological Sciences > Electronic technology
aparato de medida, meter,Technological Sciences > Electronic technology
aparato digestivo,digestive apparatus,Medical Sciences > Pharmacology
aparato digestivo, digestive system,Medical Sciences > Pharmacology
aparato digestivo, digestive tract,Medical Sciences > Pharmacology
aparato digestivo,digestive apparatus,Life sciences > Microbiology
aparato digestivo,gastrointestinal system,Life sciences > Human physiology
aplicación,application,Technological Sciences > Computer technology
aplicación,map,Mathematics > Algebra
aplicación,application,Medical Sciences > Pharmaceutical Technology
aplicación,application,Technological Sciences > Instrumentation technology
aplicación,map,Mathematics > Topology
aplicación, mapping,Mathematics > Topology
aplicación,application,Mathematics > Analysis and functional analysis
aplicación, function,Mathematics > Analysis and functional analysis
aplicación, map,Mathematics > Analysis and functional analysis
aplicación, mapping,Mathematics > Analysis and functional analysis
aplicación,application,Physics > Electro-magnetism
aplicación biyectiva,bijective map,Mathematics > Topology
aplicación biyectiva,bijection,Mathematics > Analysis and functional analysis
aplicación biyectiva, bijective function,Mathematics > Analysis and functional analysis
aplicación biyectiva, bijective mapping,Mathematics > Analysis and functional analysis
aplicación biyectiva, one-to-one correspondence,Mathematics > Analysis and functional analysis
aplicación biyectiva,bijective map,Mathematics > Algebra
aplicación inyectiva,injective map,Mathematics > Topology
aplicación inyectiva,injective function,Mathematics > Analysis and functional analysis
aplicación inyectiva, injective mapping,Mathematics > Analysis and functional analysis
aplicación lineal,linear application,Mathematics > Analysis and functional analysis
aplicación lineal, linear function,Mathematics > Analysis and functional analysis
aplicación lineal, linear mapping,Mathematics > Analysis and functional analysis
aplicación lineal,linear map,Mathematics > Algebra
árbol,tree,Technological Sciences > Computer technology
árbol,axle,Technological Sciences > Mechanical engineering and technology
árbol, shaft,Technological Sciences > Mechanical engineering and technology
árbol,tree,Technological Sciences > Electrical technology and engineering
arco,arch,Technological Sciences > Construction technology
arco,arc,Technological Sciences > Industrial technology
arco,arc,Mathematics > Analysis and functional analysis
arco,arc,Physics > Aplied Physics
área,area,Physics > Electro-magnetism
área,area,Medical Sciences > Pharmacology
área,surface area,Technological Sciences > Electronic technology
área,area,Technological Sciences > Projects
área,area,Technological Sciences > Industrial technology
área, surface area,Technological Sciences > Industrial technology
área,area,Mathematics > Analysis and functional analysis
área, surface area,Mathematics > Analysis and functional analysis
argumento,argument,Technological Sciences > Telecommunications technology
argumento,argument,Mathematics > Analysis and functional analysis
argumento, phase,Mathematics > Analysis and functional analysis
argumento,argument,Physics > Electro-magnetism
argumento,argument,Technological Sciences > Computer technology
argumento,argument,Technological Sciences > Electrical technology and engineering
armadura,armature,Technological Sciences > Electrical technology and engineering
armadura, armour,Technological Sciences > Electrical technology and engineering
armadura,truss,Technological Sciences > Construction technology
armadura,armature,Physics > Electro-magnetism
armónico fundamental,fundamental harmonic,Technological Sciences > Telecommunications technology
armónico fundamental,first harmonic,Physics > Electro-magnetism
armónico fundamental, fundamental frequency,Physics > Electro-magnetism
ARN mensajero,messenger RNA,Life sciences > Biochemistry and Molecular Biology
ARN mensajero,messenger RNA,Life sciences > Cell biology
ARN mensajero,messenger RNA,Life sciences > Microbiology
ARN mensajero,RNA messenger,Chemistry > Organic chemistry
arranque,starting,Technological Sciences > Electrical technology and engineering
arranque,start-up,Technological Sciences > Instrumentation technology
articulación,joint,Technological Sciences > Mechanical engineering and technology
articulación, knuckle,Technological Sciences > Mechanical engineering and technology
articulación,articulation,Technological Sciences > Construction technology
articulación, joint,Technological Sciences > Construction technology
articulación,articulation,Physics > Aplied Physics
articulación,joint,Life sciences > Human physiology
articulación,joint,Medical Sciences > Pharmacology
asignación,assignment,Technological Sciences > Instrumentation technology
asignación,assignment,Medical Sciences > Pharmacology
asignación,assignment,Technological Sciences > Computer technology
asignación,assignment,Technological Sciences > Telecommunications technology
asignación,allocation,Technological Sciences > Projects
asignación,allocation,Economic Sciences > Economic theory
asignación,assignment,Economic Sciences > Organization and management of enterprises
asignar,assign,Physics > Electro-magnetism
asignar,allocate,Technological Sciences > Computer technology
asignar, attribute,Technological Sciences > Computer technology
asignar, assign,Technological Sciences > Computer technology
asociación en paralelo,parallel combination,Technological Sciences > Electrical technology and engineering
asociación en paralelo,parallel association,Physics > Electro-magnetism
asociación en serie,association in series,Physics > Electro-magnetism
asociación en serie, series conection,Physics > Electro-magnetism
asociación en serie,series combination,Technological Sciences > Electrical technology and engineering
atomización,atomization,Technological Sciences > Chemical technology and engineering
atomización, spraying,Technological Sciences > Chemical technology and engineering
atomización,spraying,Medical Sciences > Pharmaceutical Technology
atomización,atomization,Technological Sciences > Food technology
atomización,atomisation,Chemistry > Analytical chemistry
atomizador,atomizer,Chemistry > Analytical chemistry
atomizador,spray,Technological Sciences > Environmental technology and engineering
bacteria,bacterium,Medical Sciences > Microbiology
bacteria,bacterium,Chemistry > Organic chemistry
bacteria,bacteria,Life sciences > Microbiology
bacteria,bacterium,Technological Sciences > Environmental technology and engineering
bacteria,bacteria,Life sciences > Cell biology
bacteria,bacterium,Medical Sciences > Pharmaceutical Technology
bacteria,bacteria,Life sciences > Biochemistry and Molecular Biology
bacteria, bacterium,Life sciences > Biochemistry and Molecular Biology
balance,balance sheet,Economic Sciences > General economics
balance,balance,Technological Sciences > Environmental technology and engineering
balance,balance sheet,Economic Sciences > Organization and management of enterprises
balance de energía,energy balance,Technological Sciences > Environmental technology and engineering
balance de energía,energy balance,Technological Sciences > Electrical technology and engineering
balance de energía,energy budget,Earth and Space Sciences > Metereology and Oceanography
balance de energía, heat balance,Earth and Space Sciences > Metereology and Oceanography
balanza,balance,Technological Sciences > Food technology
balanza,balance,Technological Sciences > Environmental technology and engineering
balanza, weighing scale,Technological Sciences > Environmental technology and engineering
balanza,balance,Chemistry > Physical chemistry
balanza, scale,Chemistry > Physical chemistry
balanza,balance,Medical Sciences > Pharmaceutical Technology
balanza,escales,Physics > General Physics specialities
balanza, scale,Physics > General Physics specialities
balanza,balance,Physics > Fluids (physics of)
balanza, scales,Physics > Fluids (physics of)
banco,bank,Economic Sciences > General economics
banco,bank,Technological Sciences > Electrical technology and engineering
banco,bench,Physics > Fluids (physics of)
banco,bank,Economic Sciences > Organization and management of enterprises
banda ancha,broad band,Physics > Electro-magnetism
banda ancha,wideband,Technological Sciences > Telecommunications technology
barrido,scanning,Chemistry > Organic chemistry
barrido,sweep,Physics > Electro-magnetism
barrido,scanning,Medical Sciences > Pharmaceutical Technology
base,alkali,Chemistry > Analytical chemistry
base, base,Chemistry > Analytical chemistry
base,basis,Mathematics > Algebra
base,base,Chemistry > Organic chemistry
base,basis,Technological Sciences > Projects
base,station,Technological Sciences > Construction technology
base,base,Technological Sciences > Electronic technology
base,base,Technological Sciences > Industrial technology
base,base,Medical Sciences > Pharmaceutical Technology
base,alkali,Technological Sciences > Environmental technology and engineering
base, base,Technological Sciences > Environmental technology and engineering
base,basis,Physics > General Physics specialities
base,base,Mathematics > Analysis and functional analysis
base, basis,Mathematics > Analysis and functional analysis
base, radix,Mathematics > Analysis and functional analysis
base ortonormal,ortonormal base,Mathematics > Analysis and functional analysis
base ortonormal,orthonormal basis,Technological Sciences > Telecommunications technology
beneficio,benefit,Economic Sciences > Economic theory
beneficio, profit,Economic Sciences > Economic theory
beneficio,benefit,Medical Sciences > Pharmacology
beneficio,profit,Economic Sciences > Organization and management of enterprises
beneficio,profit,Technological Sciences > Projects
beneficio,gain,Economic Sciences > General economics
beneficio, net worth,Economic Sciences > General economics
beneficio, profit,Economic Sciences > General economics
beneficio,profit,Mathematics > Analysis and functional analysis
beneficio antes de impuestos,profit before taxes,Economic Sciences > Economic accounting
beneficio antes de impuestos,before-tax profit,Economic Sciences > Organization and management of enterprises
beneficio antes de impuestos, profit before tax,Economic Sciences > Organization and management of enterprises
beneficio después de impuestos,after-tax profit,Economic Sciences > Organization and management of enterprises
beneficio después de impuestos,profit after taxes,Economic Sciences > Economic accounting
bien,good,Economic Sciences > General economics
bien, product,Economic Sciences > General economics
bien,good,Economic Sciences > Economic theory
bien,belongings,Technological Sciences > Projects
bien,good,Mathematics > Analysis and functional analysis
biselar,chamfer,Technological Sciences > Mechanical engineering and technology
biselar,bevel,Technological Sciences > Industrial technology
biselar, splay,Technological Sciences > Industrial technology
blanco,blank solution,Chemistry > Physical chemistry
blanco,blank,Chemistry > Analytical chemistry
bloqueo,blockage,Technological Sciences > Electrical technology and engineering
bloqueo," blocking, locking",Technological Sciences > Electrical technology and engineering
bloqueo,blockade,Medical Sciences > Pharmacology
bloqueo,deadlock,Technological Sciences > Computer technology
bloqueo, lock,Technological Sciences > Computer technology
boca,muzzle,Physics > Fluids (physics of)
boca,mouth,Life sciences > Animal Biology
boca,mouth,Medical Sciences > Pharmacology
bomba,bomb,Chemistry > Physical chemistry
bomba,pump,Technological Sciences > Environmental technology and engineering
bomba,pump,Physics > Fluids (physics of)
bomba,pump,Medical Sciences > Pharmacology
bomba,pump,Medical Sciences > Pharmaceutical Technology
bombilla,lamp,Technological Sciences > Electrical technology and engineering
bombilla,bulb,Physics > Aplied Physics
bonificación,bonus,Economic Sciences > General economics
bonificación,allowance,Economic Sciences > Organization and management of enterprises
bonificación, bonus,Economic Sciences > Organization and management of enterprises
borrasca,low,Earth and Space Sciences > Metereology and Oceanography
borrasca,cyclone,Technological Sciences > Environmental technology and engineering
borrasca, depression,Technological Sciences > Environmental technology and engineering
borrasca, low pressure area,Technological Sciences > Environmental technology and engineering
brillo,brightness,Technological Sciences > Environmental technology and engineering
brillo,shine,Medical Sciences > Pharmaceutical Technology
brote,outbreak,Life sciences > Microbiology
brote,disease outbreak,Medical Sciences > Microbiology
buffer,buffer,Economic Sciences > Organization and management of enterprises
buffer,buffer,Technological Sciences > Instrumentation technology
buffer, buffer memory,Technological Sciences > Instrumentation technology
buffer,buffer,Technological Sciences > Computer technology
buje,hub,Technological Sciences > Industrial technology
buje,bushing,Technological Sciences > Electrical technology and engineering
cable,cable,Technological Sciences > Electrical technology and engineering
cable,cable,Physics > Aplied Physics
cable,wire,Physics > Electro-magnetism
cable coaxial,coax,Physics > Electro-magnetism
cable coaxial, coaxial cable,Physics > Electro-magnetism
cable coaxial,coaxial cable,Physics > Aplied Physics
cable de conexión,conection cable,Physics > Aplied Physics
cable de conexión,connecting cable,Technological Sciences > Electrical technology and engineering
cadena,character string,Technological Sciences > Computer technology
cadena, string,Technological Sciences > Computer technology
cadena,chain,Mathematics > Algebra
cadena,chain,Medical Sciences > Pharmaceutical Technology
cadena epidemiológica,epidemiological chain,Medical Sciences > Microbiology
cadena epidemiológica,epidemiology chain,Medical Sciences > Public health
cadena epidemiológica,epidemiological chain,Life sciences > Microbiology
cadena montañosa,mountain range,Earth and Space Sciences > Geology
cadena montañosa,mountain chain,Technological Sciences > Environmental technology and engineering
caja,box,Life sciences > Biochemistry and Molecular Biology
caja,cash,Economic Sciences > Organization and management of enterprises
cálculo,calculation,Mathematics > Algebra
cálculo,calculus,Medical Sciences > Dentistry
cálculo,calculus,Medical Sciences > Pharmacology
cálculo,calculation,Chemistry > Physical chemistry
cálculo,calculation,Mathematics > Analysis and functional analysis
cálculo, calculus,Mathematics > Analysis and functional analysis
cálculo, computation,Mathematics > Analysis and functional analysis
calendario vacunal,vaccine schedule,Medical Sciences > Microbiology
calendario vacunal,vaccine calendar,Medical Sciences > Public health
calibre,calibre,Technological Sciences > Electrical technology and engineering
calibre, rating,Technological Sciences > Electrical technology and engineering
calibre,gauge,Technological Sciences > Mechanical engineering and technology
calidad de vida,quality of life,Technological Sciences > Environmental technology and engineering
calidad de vida,quality of life,Medical Sciences > Public health
calidad de vida,life quality,Medical Sciences > Pharmacology
calidad de vida,quality of life,Medical Sciences > Pathology
calor de reacción,reaction heat,Technological Sciences > Environmental technology and engineering
calor de reacción,enthalpy of reaction,Chemistry > Physical chemistry
calor de reacción, heat of reaction,Chemistry > Physical chemistry
calor de vaporización,enthalpy of vaporization,Technological Sciences > Environmental technology and engineering
calor de vaporización, heat of vaporization,Technological Sciences > Environmental technology and engineering
calor de vaporización,vaporization heat,Physics > Thermodynamics
cámara,chamber,Technological Sciences > Chemical technology and engineering
cámara,camera,Medical Sciences > Medical diagnostic and Treatment Technology
cámara,chamber,Technological Sciences > Environmental technology and engineering
cambio,exchange,Economic Sciences > Economic theory
cambio, exchange,Economic Sciences > Economic theory
cambio,exchange,Economic Sciences > Organization and management of enterprises
cambio,change,Medical Sciences > Pharmacology
cambio de fase,phase change,Physics > Thermodynamics
cambio de fase,phase transition,Earth and Space Sciences > Geology
cambio de fase,change of phase,Physics > Electro-magnetism
cambio de fase, phase change,Physics > Electro-magnetism
cambio de fase,phase change,Technological Sciences > Environmental technology and engineering
cambio de fase,phase transition,Physics > General Physics specialities
cambio de fase,phase change,Physics > Optics
camino,trayectory,Physics > Thermodynamics
camino,path,Mathematics > Analysis and functional analysis
camino,path,Mathematics > Topology
campo de radiación,radiated field,Physics > Electro-magnetism
campo de radiación, radiation field,Physics > Electro-magnetism
campo de radiación,radiation range,Chemistry > Analytical chemistry
canal,channel,Life sciences > Animal Biology
canal,canal,Technological Sciences > Environmental technology and engineering
canal, channel,Technological Sciences > Environmental technology and engineering
canal,canal,Earth and Space Sciences > Geology
canal,channel,Technological Sciences > Telecommunications technology
canal,channel,Technological Sciences > Electrical technology and engineering
canal,channel,Physics > Fluids (physics of)
canal, waterway,Physics > Fluids (physics of)
canal,channel,Technological Sciences > Electronic technology
cantidad,quantity,Technological Sciences > Instrumentation technology
cantidad,amount,Medical Sciences > Pharmaceutical Technology
capa,layer,Earth and Space Sciences > Geology
capa,layer,Medical Sciences > Pharmaceutical Technology
capa,layer,Physics > General Physics specialities
capa,layer,Technological Sciences > Electronic technology
capa,layer,Physics > Electro-magnetism
capa, slab,Physics > Electro-magnetism
capa,coating,Physics > Fluids (physics of)
capa,layer,Technological Sciences > Instrumentation technology
capa,layer,Technological Sciences > Environmental technology and engineering
capa interna,inner layer,Technological Sciences > Environmental technology and engineering
capa interna,inner shell,Physics > General Physics specialities
capacidad,capacity,Economic Sciences > Organization and management of enterprises
capacidad,capacity,Technological Sciences > Computer technology
capacidad,capacity,Medical Sciences > Pharmaceutical Technology
capacidad,capacitance,Technological Sciences > Electrical technology and engineering
capacidad, electric capacity,Technological Sciences > Electrical technology and engineering
capacidad,ability,Medical Sciences > Pharmacology
capacidad, capacity,Medical Sciences > Pharmacology
capacidad,capacitance,Physics > Electro-magnetism
capacidad, capacity,Physics > Electro-magnetism
capacidad,capacity,Life sciences > Animal Biology
capacidad,capacitance,Physics > Aplied Physics
capacidad,capacitance,Technological Sciences > Electronic technology
capital social,share capital,Economic Sciences > Economic accounting
capital social,equity capital,Economic Sciences > Organization and management of enterprises
cápside helicoidal,helical capsid,Medical Sciences > Microbiology
cápside helicoidal,helicoidal capsid,Life sciences > Microbiology
característica,characteristic,Technological Sciences > Instrumentation technology
característica,characteristic,Physics > Electro-magnetism
característica,characteristic,Technological Sciences > Electronic technology
característica,feature,Medical Sciences > Pharmacology
cardinal,cardinality,Mathematics > Algebra
cardinal,cardinal,Mathematics > Topology
cardinal,cardinal,Mathematics > Statistics
carga,charge,Chemistry > Physical chemistry
carga,loading,Life sciences > Animal Biology
carga,charge,Technological Sciences > Environmental technology and engineering
carga, load,Technological Sciences > Environmental technology and engineering
carga,charge,Physics > Fluids (physics of)
carga,charge,Physics > Aplied Physics
carga,charge,Technological Sciences > Electronic technology
carga,charge,Medical Sciences > Pharmaceutical Technology
carga,load,Technological Sciences > Electrical technology and engineering
carga,charge,Technological Sciences > Construction technology
carga, load,Technological Sciences > Construction technology
